FileName	Offset
2026-04-04T13.51.31.7766683-LN1720E036-8281-DMT103-TZJ501-DMTDUMMY.xml	-5
2026-04-04T17.30.30.2443132-LN1718SS16-8333-DMT103-TZJ501-DMTDUMMY.xml	0
2026-04-04T17.31.22.9240827-LN1718SS25-8333-DMT116-TZJ501-DMTDUMMY.xml	0
2026-04-04T17.44.20.0958489-LN1720E036-8281-DMT102-TZJ501-DMTDUMMY.xml	0
2026-04-05T00.18.48.5368409-LN1720E014-8281-DMT102-TZJ501-DMTDUMMY.xml	0
2026-04-05T07.58.45.8579999-LN1720E031-8281-DMT116-TZJ501-DMTDUMMY.xml	0
2026-04-05T09.04.35.9835712-LN1718SS25-8333-DMT102-TZJ501-DMTDUMMY.xml	0
2026-04-05T13.01.38.8511815-LN1718SS38-8333-DMT103-TZJ501-DMTDUMMY.xml	0
2026-04-05T19.33.48.9955813-LN1718SS37-8333-DMT103-TZJ501-DMTDUMMY.xml	0
2026-04-07T10.43.07.3520696-LN1718SS37-8333-DMT102-TZJ501-DMTDUMMY.xml	-5

